,original_release_date,runtime_x,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,adult,budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,runtime_y,status,title,vote_average,vote_count,drama
423,2008-08-30,116.0,Certified-Fresh,91.0,288.0,Upright,90.0,1155769.0,53,False,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",12405,tt1010048,en,Slumdog Millionaire,11.258181,2008-05-12,120.0,Released,slumdog millionaire,7.6,2918.0,True
424,2016-09-16,134.0,Fresh,61.0,257.0,Upright,70.0,28659.0,54,False,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",302401,tt3774114,en,Snowden,14.384554,2016-09-15,134.0,Released,snowden,7.0,1285.0,True
425,2013-12-13,83.0,Rotten,54.0,37.0,Spilled,37.0,495.0,16,False,0,"[{'id': 18, 'name': 'Drama'}]",174341,tt2231138,en,Some Velvet Morning,3.118419,2013-12-10,82.0,Released,some velvet morning,6.1,25.0,True
426,2009-07-15,75.0,Certified-Fresh,96.0,55.0,Upright,75.0,19160.0,22,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",14298,tt1172206,en,Somers Town,1.532799,2008-08-22,71.0,Released,somers town,6.9,24.0,True
427,2017-03-17,129.0,Rotten,44.0,131.0,Spilled,36.0,6649.0,39,False,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",330947,tt2062700,en,Song to Song,12.928712,2017-03-17,129.0,Released,song to song,5.4,179.0,True
428,2015-07-24,123.0,Rotten,59.0,237.0,Upright,75.0,44096.0,55,False,30000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",307081,tt1798684,en,Southpaw,12.370126,2015-06-15,123.0,Released,southpaw,7.3,2112.0,True
429,2014-09-19,93.0,Fresh,68.0,25.0,Spilled,30.0,2812.0,9,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",253312,tt2369317,en,Space Station 76,15.884005,2014-09-19,94.0,Released,space station 76,4.7,92.0,True
430,2005-10-05,80.0,Certified-Fresh,92.0,154.0,Upright,81.0,79037.0,38,False,1500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",10707,tt0367089,en,The Squid and the Whale,10.952762,2005-10-05,81.0,Released,the squid and the whale,6.9,229.0,True
431,2006-02-23,96.0,Certified-Fresh,90.0,81.0,Upright,66.0,19522.0,30,False,8,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",14055,tt0477095,en,Starter for 10,5.140016,2006-09-13,92.0,Released,starter for 10,6.7,131.0,True
432,2014-08-08,112.0,Rotten,42.0,52.0,Spilled,57.0,33056.0,16,False,45000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",243683,tt2626350,en,Step Up All In,8.588926,2014-07-16,112.0,Released,step up all in,6.7,649.0,True
433,2012-07-27,98.0,Rotten,41.0,98.0,Upright,68.0,65453.0,27,False,33000000,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",85446,tt1800741,en,Step Up Revolution,7.859968,2012-07-26,99.0,Released,step up revolution,6.7,679.0,True
434,2015-10-23,121.0,Certified-Fresh,85.0,312.0,Upright,73.0,42992.0,61,False,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",321697,tt2080374,en,Steve Jobs,16.224866,2015-10-09,122.0,Released,steve jobs,6.8,1608.0,True
435,2007-01-12,114.0,Rotten,25.0,89.0,Upright,82.0,467999.0,33,False,13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",1931,tt0775539,en,Stomp the Yard,5.607508,2007-05-16,114.0,Released,stomp the yard,6.1,90.0,True
436,2015-08-14,147.0,Certified-Fresh,89.0,245.0,Upright,85.0,110.0,53,False,28000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",277216,tt1398426,en,Straight Outta Compton,21.183077,2015-08-13,147.0,Released,straight outta compton,7.7,1381.0,True
437,2009-07-28,95.0,Rotten,40.0,5.0,Spilled,17.0,7673.0,0,False,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",19727,tt1203523,en,Streets of Blood,2.644888,2009-07-13,95.0,Released,streets of blood,4.6,19.0,True
438,2013-01-11,84.0,Rotten,32.0,34.0,Spilled,52.0,9679.0,15,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",87440,tt1791614,en,Struck by Lightning,8.546197,2012-04-20,90.0,Released,struck by lightning,6.2,96.0,True
439,2012-10-19,147.0,Rotten,50.0,6.0,Spilled,50.0,2436.0,1,False,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",138122,tt2172071,en,Student of the Year,3.550969,2012-10-19,145.0,In Production,student of the year,6.2,49.0,True
440,2016-09-09,96.0,Certified-Fresh,85.0,341.0,Upright,84.0,48543.0,53,False,60000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",363676,tt3263904,en,Sully,18.275689,2016-09-07,96.0,Released,sully,7.0,2106.0,True
441,2014-01-17,101.0,Rotten,30.0,43.0,Spilled,28.0,1420.0,9,False,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",180951,tt2184287,en,Summer in February,10.47983,2013-06-13,101.0,Released,summer in february,5.6,37.0,True
442,2009-03-13,102.0,Certified-Fresh,74.0,176.0,Upright,63.0,180694.0,50,False,5000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",13090,tt0862846,en,Sunshine Cleaning,9.098119,2008-01-18,102.0,Released,sunshine cleaning,6.5,256.0,True
443,2015-01-30,106.0,Rotten,27.0,11.0,Upright,84.0,1013.0,4,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",277702,tt2245151,en,Supremacy,6.849918,2014-06-12,97.0,Released,supremacy,6.0,21.0,True
444,2007-12-21,117.0,Certified-Fresh,86.0,229.0,Upright,81.0,1696053.0,48,False,50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}]",13885,tt0408236,en,Sweeney Todd: The Demon Barber of Fleet Street,10.038401,2007-12-20,116.0,Released,sweeney todd the demon barber of fleet street,7.0,1745.0,True
445,2013-12-06,83.0,Rotten,37.0,30.0,Spilled,24.0,406.0,10,False,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",99758,tt1592576,en,Swerve,1.321924,2012-04-11,83.0,Released,swerve,5.1,10.0,True
446,2008-10-24,124.0,Fresh,69.0,191.0,Upright,71.0,57214.0,51,False,21000000,"[{'id': 18, 'name': 'Drama'}]",4960,tt0383028,en,"Synecdoche, New York",6.295807,2008-10-24,124.0,Released,synecdoche new york,7.4,286.0,True
